country,clicks,impressions,ctr,position
tha,2,185,0.0108,4.8
usa,1,30,0.0333,31.7
ind,0,16,0,47.6
phl,0,12,0,36.7
idn,0,10,0,45.6
vnm,0,10,0,40.7
gbr,1,9,0.1111,28
deu,0,8,0,9.4
mys,0,7,0,52.9
rus,0,7,0,24.3
sau,0,7,0,33.6
tur,0,7,0,31
esp,1,6,0.1667,22
fra,1,6,0.1667,30.2
bgd,0,6,0,51.3
mar,0,4,0,39.2
nld,0,4,0,46.2
twn,0,4,0,2.2
ita,0,3,0,7.3
ukr,0,3,0,38.7
hun,1,2,0.5,1.5
arg,0,2,0,1.5
aus,0,2,0,33.5
can,0,2,0,3.5
col,0,2,0,25.5
dnk,0,2,0,2
fin,0,2,0,1
jor,0,2,0,26.5
pak,0,2,0,35
sgp,0,2,0,1.5
swe,0,2,0,9
bel,0,1,0,8
bra,0,1,0,26
chl,0,1,0,6
cze,0,1,0,10
egy,0,1,0,1
irl,0,1,0,8
irn,0,1,0,7
irq,0,1,0,28
jpn,0,1,0,1
kaz,0,1,0,6
kor,0,1,0,1
mex,0,1,0,73
per,0,1,0,6
pol,0,1,0,12
prt,0,1,0,11
rou,0,1,0,7
