date,clicks,impressions,ctr,position
2026-08-09,0,20,0,19.6
2026-08-10,0,19,0,24.5
2026-08-06,0,18,0,19.8
2026-08-05,0,15,0,23.3
2026-07-24,0,14,0,4.7
2026-08-04,0,14,0,20.4
2026-07-25,0,13,0,9.8
2026-07-28,0,12,0,4.1
2026-08-01,0,12,0,23.1
2026-08-07,0,12,0,10.7
2026-07-29,0,11,0,5.5
2026-08-02,0,11,0,19.7
2026-08-03,0,11,0,13.5
2026-08-16,0,11,0,43.4
2026-07-22,0,10,0,9
2026-07-23,0,10,0,4.9
2026-08-11,0,10,0,27.3
2026-07-19,1,9,0.1111,3.9
2026-07-20,0,9,0,8.2
2026-07-21,0,9,0,2.1
2026-07-27,0,9,0,7.4
2026-08-15,1,9,0.1111,46.6
2026-07-26,0,8,0,10.8
2026-07-30,0,8,0,9.2
2026-07-08,0,6,0,6
2026-07-10,0,6,0,18.7
2026-07-12,0,6,0,40.3
2026-07-17,0,6,0,6.7
2026-08-13,0,6,0,75.5
2026-08-14,1,6,0.1667,9
2026-07-07,0,5,0,36.4
2026-07-16,0,5,0,9.4
2026-07-18,0,5,0,7.4
2026-08-08,0,5,0,9.6
2026-08-12,0,5,0,57.6
2026-07-02,0,4,0,2.2
2026-07-14,1,4,0.25,30.5
2026-07-04,0,3,0,48.3
2026-07-31,0,3,0,11.3
2026-06-15,0,2,0,1
2026-06-20,0,2,0,1
2026-06-22,1,2,0.5,35
2026-07-03,0,2,0,34
2026-06-10,0,1,0,1
2026-06-12,0,1,0,1
2026-06-13,0,1,0,3
2026-06-14,0,1,0,67
2026-06-17,0,1,0,1
2026-06-24,0,1,0,54
2026-06-25,0,1,0,2
2026-06-27,1,1,1,1
2026-06-29,0,1,0,2
2026-07-05,0,1,0,56
2026-07-06,0,1,0,1
2026-07-09,1,1,1,5
2026-07-11,0,1,0,51
2026-07-13,0,1,0,1
2026-07-15,0,1,0,11
2026-06-09,0,0,0,0
2026-06-11,0,0,0,0
2026-06-16,0,0,0,0
2026-06-18,0,0,0,0
2026-06-19,0,0,0,0
2026-06-21,0,0,0,0
2026-06-23,0,0,0,0
2026-06-26,0,0,0,0
2026-06-28,0,0,0,0
2026-06-30,0,0,0,0
2026-07-01,0,0,0,0
