page,clicks,impressions,ctr,position
https://fadercraft.com/,4,203,0.0197,5.1
https://fadercraft.com/updates,1,157,0.0064,3.9
https://fadercraft.com/control-xl,1,115,0.0087,16.5
https://fadercraft.com/guides,0,104,0,32.1
https://fadercraft.com/legal,0,92,0,8
https://fadercraft.com/sends-follower,0,41,0,10.7
https://fadercraft.com/dynamic-focus,0,27,0,10.5
https://fadercraft.com/free-custom-modes,1,17,0.0588,36.2
https://fadercraft.com/guide/ableton-controller-knob-jump-pickup-mode,0,12,0,13.2
https://fadercraft.com/fb-df,0,1,0,7
